Wear,ללבוש
Forest,יער
Strange,מוזר
Keep,לשמור
Saw,ראה
Diary,יומן
Village,כפר
Life,חיים
Movie,סרט
Often,לעתים קרובות
Never,לעולם לא
Different,שונה
Stories,סיפורים
Afraid,חושש
Also,גם
Too,גם
Enjoy,תהנה
Character,אופי
Once upon a time,היה היה
Real,אמיתי
Plot,עלילה
Villain,נבל
Fairy tales,אגדות
Tail,זנב
Tale,מעשיה
Real,אמיתי
Ending,סיום
Happpen,יקרה
Hero,גיבור
Catch,לתפוס
So,כך
Find,למצוא
Forget,לשכוח
Smile,חיוך
Tell,לספר
Stay,שהות
Flower,פרח
Early,מוקדם
Late,מאוחר
Outside,בחוץ
Inside,בתוך
Safe,בטוח
Dangerous,מסוכן
Quickly,במהירות
Duck,ברווז
Listen,להקשיב
Garden,גינה
Near,ליד
Magic,קסם
City,עיר
Problem,בעיה
Cover,לכסות
Wish,בקשה
Review,סקירה
Writer,סופר
Recommend,להמליץ
Boring,משעמם
Scary,מפחיד
Detective,בלש
Adventure,הרפתקה
Kind of,מעין
Young,צעיר
Beautiful,יפה
Brave,אמיץ
Kind,סוג
Strong,חזק
Ugly,מכוער
Warm,חם
Cool,להתקרר
Round,עגול
Dirty,מלוכלך
Memory,זכרון
Page,עמוד
Practice,תרגול
Remember,לזכור
Rule,כלל
Sentence,משפט
Spell,לאיית
Together,יחד
Nurse,אחות
Driver,נהג
Waiter,מלצר
Ask,לשאול
At least,לפחות
Dictionary,מילון
Example,דוגמה
Exercise,אימון
Meaning,משמעות
Wild,פראי
About,אודות
Wolf,זאב
Always,תמיד
Somtimes,לפעמים
Speak,לדבר
Kill,להרוג
TRUE,נכון
FALSE,שגוי
Poor,עני
Imortant,חשוב
Funny,מצחיק
New,חדש
Tired,עייף
Easy,קל
Special,מיוחד
Fast,מהיר
Sweet,מתוק
Clean,לנקות
Old,ישן
Hard,קשה
Rich,עשיר
Question,שאלה
Family,משפחה
King,מלך
Family,משפחה
Shopkeeper,בעל חנות
Mouse,עכבר
Foot,רגל
Sheep,כבשה
Ship,ספינה
Answer,תשובה 
